idna_subject,checker_type,destination,source,tested_at
scarlatinastudyo.forum.ac,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 15:34:46.119276
www.scarlatinastudyo.forum.ac,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 15:38:00.126140
www.putlocker.ac,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 15:56:16.596250
twit.ac,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 21:58:35.882887
apple-ios.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:01:13.592613
www.apple-ios.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:03:50.179175
bittrex.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:06:58.757667
www.bittrex.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:10:12.054295
fct.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:14:55.556770
www.fct.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:18:06.479706
pornhub.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:21:14.284870
www.pornhub.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:24:22.174418
realestatesschools.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:27:30.456686
www.realestatesschools.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:30:43.311349
www.youtuber.academy,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:33:51.993092
adobecom.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-24 22:37:03.479957
www.adobecom.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:01:26.822832
ap76rmx3.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:04:39.011239
appleao.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:07:49.454835
appleegg.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:11:01.121152
appleidine.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:14:09.797820
appleimmediate.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:17:18.552467
www.appleimmediate.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:20:28.496812
applekungen.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:23:38.132056
appleom.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:26:46.607557
appleoneus.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:29:54.666168
applereply.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:33:06.894312
applessmile.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:36:22.462588
www.applessmile.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:56:07.157100
appletreemt.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 19:59:23.882155
asperdesgifts.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:02:40.804297
capple.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:05:59.592733
coccoc.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:09:14.850848
www.coccoc.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:12:35.504395
code-4t0bf2m1d8njeebnh.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:15:21.379093
www.code-4t0bf2m1d8njeebnh.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:18:04.727251
com-analysis-safety-antimalware-support.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:20:47.087572
apple.com-analysis-safety-antimalware-support.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:23:30.504516
dapple.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:26:46.775619
de-flashplayer-update.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:29:36.564939
de-true-valid-logincenter.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:32:21.625688
email-login.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:47:31.182198
www.email-login.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:50:15.944713
errorapplication.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:53:25.126596
www.errorapplication.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:56:41.939564
errorh.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 20:59:51.346644
glutteredwinners.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:03:06.585613
hostingcloud.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:06:17.524561
www.hostingcloud.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:09:35.095920
iapple.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:12:46.175620
incapablewinners.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:17:31.393068
johnwinners.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:20:41.374795
login-microsoftexchange.accountant,AVAILABILITY,rpz.mypdns.cloud.list,/home/runner/work/rpz.mypdns.cloud/rpz.mypdns.cloud/rpz.mypdns.cloud.list,2021-01-26 21:23:20.031984
